ACTION 12 STEP|Location is: ACTION 12 STEP|1|19:00:00|20:00:00|5678 HIGHWAY 4, ACTON, ND 58237
ACTION 12 STEP|Location is: ACTION 12 STEP|2|19:00:00|20:00:00|5678 HIGHWAY 4, ACTON, ND 58237
ACTION 12 STEP|Location is: ACTION 12 STEP|4|19:00:00|20:00:00|5678 HIGHWAY 4, ACTON, ND 58237
ACTION 12 STEP|Location is: ACTION 12 STEP|5|19:00:00|20:00:00|5678 HIGHWAY 4, ACTON, ND 58237
ACTION 12 STEP|Location is: ACTION 12 STEP|6|19:00:00|20:00:00|5678 HIGHWAY 4, ACTON, ND 58237
GAY GROUP|Location is: St. James Ch.parish Hall|1|18:00:00|19:00:00|222 8th St., Northeast, ND 58275
ROOM WITH A VIEW|Location is: St. James Ch.parish Hall|2|18:30:00|19:30:00|222 8th St., Northeast, ND 58275
ROOM WITH A VIEW|Location is: St. James Ch.parish Hall|4|18:30:00|19:30:00|222 8th St., Northeast, ND 58275
GAY GROUP|Location is: St. James Ch.parish Hall|4|20:30:00|21:30:00|222 8th St., Northeast, ND 58275
ROOM WITH A VIEW|Location is: St. James Ch.parish Hall|6|18:30:00|19:30:00|222 8th St., Northeast, ND 58275
YEAS & NAYS|Location is: U.S. Capitol|3|08:00:00|09:00:00|U.S. Capitol, Southeast, ND 
Portage Plains AA|Location is: Portage la Prairie, MB|1|11:00:00|12:00:00|5th Ave NW, portage_la_prairie, ND 
Pierre AA|Location is: Pierre SD|2|12:00:00|13:00:00|325 South Garfield, pierre, ND 57501
Charleswood Camels|Location is: Gloria Dei Lutheran Church|4|20:00:00|21:00:00|637 Buckingham, Winnipeg, ND 1C1
Charleswood Camels|Location is: Gloria Dei Lutheran Church|6|20:00:00|21:00:00|637 Buckingham, Winnipeg, ND 1C1
Charleswood Camels|Location is: Gloria Dei Lutheran Church|1|20:00:00|21:00:00|637 Buckingham, Winnipeg, ND 1C1
We Are Not Saints|Location is: Charleswood United Church|3|20:00:00|21:00:00|4820 Roblin Blvd., Winnipeg, ND 
St. Norbert|Location is: 3525 Pembina Hwy.|2|19:30:00|20:30:00|3525 Pembina Hwy., Winnipeg, ND 
Fort Garry|Location is: Credit Union Bldg.|4|19:30:00|20:30:00|3525 Pembina Hwy, Winnipeg, ND 
St. Norbert|Location is: 3525 Pembina Hwy.|5|19:30:00|20:30:00|3525 Pembina Hwy., Winnipeg, ND 
Fort Garry|Location is: Credit Union Bldg.|7|10:00:00|11:00:00|3525 Pembina Hwy, Winnipeg, ND 
St. James Assiniboia|Location is: 472 Kirkfield St.|4|20:00:00|21:00:00|472 Kirkfield St., Winnipeg, ND 1E6
St. James Assiniboia|Location is: 472 Kirkfield St.|6|20:00:00|21:00:00|472 Kirkfield St., Winnipeg, ND 1E6
St. James Assiniboia|Location is: 472 Kirkfield St.|1|20:00:00|21:00:00|472 Kirkfield St., Winnipeg, ND 1E6
Cavalier|Location is: Sturgeon Creek United Church|3|20:00:00|21:00:00|207 Thompson Dr., Winnipeg, ND 3E2
Cavalier|Location is: Sturgeon Creek United Church|5|20:00:00|21:00:00|207 Thompson Dr, Winnipeg, ND 3E2
Cavalier|Location is: Sturgeon Creek United Church|1|20:00:00|21:00:00|207 Thompson Dr, Winnipeg, ND 3E2
University|Location is: U. of M. Campus|4|20:00:00|21:00:00|University College Rm 235, Winnipeg, ND 
Recovery|Location is: Conf. Center/Door W4|2|00:00:00|01:00:00|1111 Chevrier Blvd, Winnipeg, ND 1Y1
Keep In Step|Location is: St James Church|4|20:00:00|21:00:00|195 Collegiate, Winnipeg, ND 1T8
Keep In Step|Location is: St James Church|6|20:00:00|21:00:00|195 Collegiate, Winnipeg, ND 1T8
Keep In Step|Location is: St James Church|1|20:00:00|21:00:00|195 Collegiate, Winnipeg, ND 1T8
Southside|Location is: Sir John Franklin Community Club|3|19:30:00|20:30:00|1 Sir John Franklin Rd., Winnipeg, ND 1Z9
Southside|Location is: Sir John Franklin Community Club|5|19:30:00|20:30:00|1 Sir John Franklin Rd., Winnipeg, ND 1Z9
Centennial|Location is: St. James United Church|3|20:00:00|21:00:00|234 Parkview St., Winnipeg, ND 1S3
Centennial|Location is: St. James United Church|1|20:00:00|21:00:00|234 Parkview St., Winnipeg, ND 1S3
Wildwood|Location is: Fort Garry United Church|2|20:00:00|21:00:00|800 Point Rd., Winnipeg, ND 1K3
Wildwood|Location is: Fort Garry United Church|5|20:00:00|21:00:00|800 Point Rd., Winnipeg, ND 1K3
Golden Slippers|Location is: Assiniboine Pentecostal Church|1|09:00:00|10:00:00|240 Home Street, Winnipeg, ND 1X3
Springside|Location is: 964 St. Mary?s|2|20:00:00|21:00:00|964 St. Mary?s, Winnipeg, ND 3R8
Springside 2|Location is: 964 St. Mary?s|3|18:30:00|19:30:00|964 St. Mary?s, Winnipeg, ND 3R8
Springside|Location is: 964 St. Mary?s|4|20:00:00|21:00:00|964 St. Mary?s, Winnipeg, ND 3R8
Springside|Location is: 964 St. Mary?s|5|20:00:00|21:00:00|964 St. Mary?s, Winnipeg, ND 3R8
Springside|Location is: 964 St. Mary?s|6|20:00:00|21:00:00|964 St. Mary?s, Winnipeg, ND 3R8
Springside|Location is: 964 St. Mary?s|7|20:00:00|21:00:00|964 St. Mary?s, Winnipeg, ND 3R8
Springside|Location is: 964 St. Mary?s|1|20:00:00|21:00:00|964 St. Mary?s, Winnipeg, ND 3R8
Springside 3|Location is: 964 St. Mary?s|7|10:30:00|11:30:00|964 St. Mary?s, Winnipeg, ND 3R8
Becket Grapevine|Location is: Becket Congregational Church Parish House|7|19:00:00|20:00:00|YMCA Rd.?, BECKET, ND 56554
Absolute|Location is: Morrow Gospel Church|5|19:30:00|20:30:00|755 St. Annes Road, Winnipeg, ND 4K8
Staying Sober|Location is: Nine Circles|6|00:00:00|01:00:00|705 Broadway, Winnipeg, ND 0X2
Water of Life|Location is: 222 Furby at Broadway|6|18:00:00|19:00:00|222 Furby at Broadway, Winnipeg, ND 
Alano|Location is: 776 Ellice Ave|2|20:30:00|21:30:00|776 Ellice Ave, Winnipeg, ND 0B7
Alano|Location is: 776 Ellice Ave|3|20:30:00|21:30:00|776 Ellice Ave, Winnipeg, ND 0B7
Alano|Location is: 776 Ellice Ave|4|20:30:00|21:30:00|776 Ellice Ave, Winnipeg, ND 0B7
Alano 2|Location is: 776 Ellice Ave.|5|20:30:00|21:30:00|776 Ellice Ave., Winnipeg, ND 0B7
