MEET THE OLD TIMERS|Location is: Metropolis Club|7|00:00:00|01:00:00|928 5th St, Northwest, ND 58559|47.4871764|-100.78588790000003
METROPOLIS|Location is: Metropolis Club|1|18:30:00|19:30:00|928 5th St, Northwest, ND 58559|47.4871764|-100.78588790000003
METROPOLIS 3|Location is: Metropolis Club|1|20:30:00|21:30:00|928 5th St, Northwest, ND 58559|47.4871764|-100.78588790000003
METROPOLIS 4|Location is: Metropolis Club|2|18:30:00|19:30:00|928 5th St., Northwest, ND 58559|47.4871764|-100.78588790000003
CALVARY WOMEN|Location is: Metropolis Club|2|19:30:00|20:30:00|928 5th St., Northwest, ND 58559|47.4871764|-100.78588790000003
WOMEN'S RAP|Location is: Metropolis Club|2|19:30:00|20:30:00|928 5th St., Northwest, ND 58559|47.4871764|-100.78588790000003
METROPOLIS 5|Location is: Metropolis Club|2|20:30:00|21:30:00|928 5th St., Northwest, ND 58559|47.4871764|-100.78588790000003
METROPOLIS 4|Location is: Metropolis Club|3|18:30:00|19:30:00|928 5th St., Northwest, ND 58559|47.4871764|-100.78588790000003
METROPOLIS 5|Location is: Metropolis Club|3|20:30:00|21:30:00|928 5th St., Northwest, ND 58559|47.4871764|-100.78588790000003
ACCEPTANCE|Location is: Metropolis Club|4|18:30:00|19:30:00|928 5th St, Northwest, ND 58559|47.4871764|-100.78588790000003
METROPOLIS 5|Location is: Metropolis Club|4|20:30:00|21:30:00|928 5th St., Northwest, ND 58559|47.4871764|-100.78588790000003
12 STEPS & 12 TRADITIONS|Location is: Metropolis Club|5|18:00:00|19:00:00|928 5th St., Northwest, ND 58559|47.4871764|-100.78588790000003
METROPOLIS 4|Location is: Metropolis Club|5|18:30:00|19:30:00|928 5th St., Northwest, ND 58559|47.4871764|-100.78588790000003
METROPOLIS 5|Location is: Metropolis Club|5|20:30:00|21:30:00|928 5th St., Northwest, ND 58559|47.4871764|-100.78588790000003
LONELY HEARTS|Location is: Metropolis Club|6|12:00:00|13:00:00|928 5th St, Northwest, ND 58559|47.4871764|-100.78588790000003
METROPOLIS|Location is: Metropolis Club|6|18:30:00|19:30:00|928 5th St, Northwest, ND 58559|47.4871764|-100.78588790000003
METROPOLIS 5|Location is: Metropolis Club|6|20:30:00|21:30:00|928 5th St., Northwest, ND 58559|47.4871764|-100.78588790000003
NIGHT TIME IS THE RIGHT TIME|Location is: Metropolis Club|6|22:00:00|23:00:00|928 5th St., Northwest, ND 58559|47.4871764|-100.78588790000003
LONELY HEARTS|Location is: Metropolis Club|7|12:00:00|13:00:00|928 5th St, Northwest, ND 58559|47.4871764|-100.78588790000003
Metropolis Club 4|Location is: Metropolis Club|7|20:30:00|21:30:00|928 5th St., Northwest, ND 58559|47.4871764|-100.78588790000003
NIGHT TIME IS THE RIGHT TIME|Location is: Metropolis Club|7|22:00:00|23:00:00|928 5th St., Northwest, ND 58559|47.4871764|-100.78588790000003
ST. MARY`S GAY|Location is: Church Hall|2|18:00:00|19:00:00|730 23rd St., Northwest, ND 58723|47.7456463|-100.74161889999999
ST. MARY'S GAY|Location is: Church Hall|2|20:30:00|21:30:00|730 23rd St., Northwest, ND 58723|47.7456463|-100.74161889999999
ST. MARY'S GAY|Location is: Church Hall|3|20:30:00|21:30:00|730 23rd St., Northwest, ND 58723|47.7456463|-100.74161889999999
ST. MARY|Location is: Church Hall|6|18:00:00|19:00:00|730 23rd St., Northwest, ND 58723|47.7456463|-100.74161889999999
HOW IT WORKS|Location is: Church Hall|6|20:30:00|21:30:00|730 23rd St., Northwest, ND 58723|47.7456463|-100.74161889999999
ST. MARY 2|Location is: Church Hall|6|20:30:00|21:30:00|730 23rd St., Northwest, ND 58723|47.7456463|-100.74161889999999
AMOR Y FE|Location is: 4027 13th St.|7|17:00:00|18:00:00|4027 13th St., Northwest, ND 58540|47.6031659|-101.44493690000002
AMOR Y FE|Location is: 4027 13th St.|1|20:00:00|21:00:00|4027 13th St., Northwest, ND 58540|47.6031659|-101.44493690000002
