West Side Group 2|Location is: West Side Group|7|14:00:00|15:00:00|4615 Lexington Ave, Jacksonville, GA 32210|30.7796513|-81.6516226
West Side Group 7|Location is: West Side Group|1|17:30:00|18:30:00|4615 Lexington Ave, Jacksonville, GA 32210|30.7796513|-81.6516226
West Side Group 3|Location is: West Side Group|4|20:00:00|21:00:00|4615 Lexington Ave, Jacksonville, GA 32210|30.7796513|-81.6516226
West Side Group 3|Location is: West Side Group|3|20:00:00|21:00:00|4615 Lexington Ave, Jacksonville, GA 32210|30.7796513|-81.6516226
West Side Group 3|Location is: West Side Group|2|20:00:00|21:00:00|4615 Lexington Ave, Jacksonville, GA 32210|30.7796513|-81.6516226
West Side Group 3|Location is: West Side Group|6|20:00:00|21:00:00|4615 Lexington Ave, Jacksonville, GA 32210|30.7796513|-81.6516226
West Side Group 3|Location is: West Side Group|5|20:00:00|21:00:00|4615 Lexington Ave, Jacksonville, GA 32210|30.7796513|-81.6516226
West Side Group 3|Location is: West Side Group|7|20:00:00|21:00:00|4615 Lexington Ave, Jacksonville, GA 32210|30.7796513|-81.6516226
West Side Group 3|Location is: West Side Group|1|20:00:00|21:00:00|4615 Lexington Ave, Jacksonville, GA 32210|30.7796513|-81.6516226
West Side Group 6|Location is: West Side Group|7|22:00:00|23:00:00|4615 Lexington Ave, Jacksonville, GA 32210|30.7796513|-81.6516226
Free To Be Group|Location is: Free To Be Group|2|18:30:00|19:30:00|1562 LaSalle Street, Jacksonville, GA 32207|30.8258667|-82.0174025
NORTH CHURCH STREET GROUP|Location is: SAINT STEPHEN���S CHURCH|2|01:23:00|02:23:00|119 N CHURCH STREET, LEXINGTON, GA 29072|33.8708002|-83.1106795
NORTH CHURCH STREET GROUP|Location is: SAINT STEPHEN���S CHURCH|4|19:30:00|20:30:00|119 N CHURCH STREET, LEXINGTON, GA 29072|33.8708002|-83.1106795
NORTH CHURCH STREET GROUP|Location is: SAINT STEPHEN���S CHURCH|5|19:00:00|20:00:00|119 N CHURCH STREET, LEXINGTON, GA 29072|33.8708002|-83.1106795
Waking Up Sober|Location is: 7th Adventist Church|1|09:00:00|10:00:00|Hwy 27, High Springs, GA 32643|32.8502576|-84.84548159999997
IRMO|Location is: MCGREGOR PRESBYTERIAN CHURCH|4|18:00:00|19:00:00|6505 ST ANDREWS ROAD, COLUMBIA, GA 29212|33.5475933|-82.05316260000001
BOJANGLES|Location is: YMCA|2|07:30:00|08:30:00|1420 SUMTER STREET, COLUMBIA, GA 29201|33.5774728|-82.1024913
BOJANGLES|Location is: YMCA|3|07:30:00|08:30:00|1420 SUMTER STREET, COLUMBIA, GA 29201|33.5774728|-82.1024913
BOJANGLES|Location is: YMCA|4|07:30:00|08:30:00|1420 SUMTER STREET, COLUMBIA, GA 29201|33.5774728|-82.1024913
BOJANGLES|Location is: YMCA|5|07:30:00|08:30:00|1420 SUMTER STREET, COLUMBIA, GA 29201|33.5774728|-82.1024913
BOJANGLES|Location is: YMCA|6|07:30:00|08:30:00|1420 SUMTER STREET, COLUMBIA, GA 29201|33.5774728|-82.1024913
BROWN BAG|Location is: WESLEY UNITED METHODIST CHURCH|2|12:00:00|13:00:00|2501 HEYWARD STREET, COLUMBIA, GA 29205|33.4435757|-82.08664320000003
BROWN BAG|Location is: WESLEY UNITED METHODIST CHURCH|3|12:00:00|13:00:00|2501 HEYWARD STREET, COLUMBIA, GA 29205|33.4435757|-82.08664320000003
BROWN BAG|Location is: WESLEY UNITED METHODIST CHURCH|4|12:00:00|13:00:00|2501 HEYWARD STREET, COLUMBIA, GA 29205|33.4435757|-82.08664320000003
BROWN BAG|Location is: WESLEY UNITED METHODIST CHURCH|5|12:00:00|13:00:00|2501 HEYWARD STREET, COLUMBIA, GA 29205|33.4435757|-82.08664320000003
BROWN BAG|Location is: WESLEY UNITED METHODIST CHURCH|6|12:00:00|13:00:00|2501 HEYWARD STREET, COLUMBIA, GA 29205|33.4435757|-82.08664320000003
PALMETTO|Location is: EBENEZER LUTHERAN CHURCH|1|19:00:00|20:00:00|1301 RICHLAND, COLUMBIA, GA 29201|32.084899|-84.64608399999997
FIVE POINTS HAPPY HOUR|Location is: ACOA CLUB|2|17:30:00|18:30:00|2015 COLLEGE STREET, COLUMBIA, GA 29205|33.652563|-84.45515899999998
FIVE POINTS HAPPY HOUR|Location is: ACOA CLUB|3|17:30:00|18:30:00|2015 COLLEGE STREET, COLUMBIA, GA 29205|33.652563|-84.45515899999998
FIVE POINTS HAPPY HOUR|Location is: ACOA CLUB|4|17:30:00|18:30:00|2015 COLLEGE STREET, COLUMBIA, GA 29205|33.652563|-84.45515899999998
FIVE POINTS HAPPY HOUR|Location is: ACOA CLUB|5|17:30:00|18:30:00|2015 COLLEGE STREET, COLUMBIA, GA 29205|33.652563|-84.45515899999998
FIVE POINTS HAPPY HOUR|Location is: ACOA CLUB|6|17:30:00|18:30:00|2015 COLLEGE STREET, COLUMBIA, GA 29205|33.652563|-84.45515899999998
CENTRAL GROUP|Location is: ACOA CLUB|6|20:00:00|21:00:00|2015 COLLEGE STREET, COLUMBIA, GA 29205|33.652563|-84.45515899999998
PRINCIPLES BEFORE PERSONALITIES|Location is: ACOA CLUB|6|22:00:00|23:00:00|2015 COLLEGE STREET, COLUMBIA, GA 29205|33.652563|-84.45515899999998
KEYSTONE|Location is: ACOA CLUB|7|20:30:00|21:30:00|2015 COLLEGE STREET, COLUMBIA, GA 29205|33.652563|-84.45515899999998
NORTH COLUMBIA|Location is: COLLEGE PLACE METHODIST CHURCH|3|20:00:00|21:00:00|4901 COLONIAL DRIVE, COLUMBIA, GA 29203|33.5046901|-82.14787160000003
NORTH COLUMBIA|Location is: COLLEGE PLACE METHODIST CHURCH|5|20:00:00|21:00:00|4901 COLONIAL DRIVE, COLUMBIA, GA 29203|33.5046901|-82.14787160000003
ATTITUDE ADJUSTMENT|Location is: COLLEGE PLACE METHODIST CHURCH|6|19:00:00|20:00:00|4901 COLONIAL DRIVE, COLUMBIA, GA 29203|33.5046901|-82.14787160000003
NORTH COLUMBIA|Location is: COLLEGE PLACE METHODIST CHURCH|7|20:00:00|21:00:00|4901 COLONIAL DRIVE, COLUMBIA, GA 29203|33.5046901|-82.14787160000003
STEP BY STEP BEGINNER'S|Location is: Shands at Vista - Health Park|1|19:00:00|20:00:00|8900 NW 39th Avenue, Gainesville, GA 32606|34.3001857|-83.854667
DESIGN FOR LIVING BEGINNER'S|Location is: Shands at Vista - Health Park|4|19:30:00|20:30:00|8900 NW 39th Avenue, Gainesville, GA 32606|34.3001857|-83.854667
A VISIONFOR YOU BEGINNER'S|Location is: Shands at Vista - Health Park|7|19:30:00|20:30:00|8900 NW 39th Avenue, Gainesville, GA 32606|34.3001857|-83.854667
All Inclusive Solutions|Location is: Harvest Christian Church|6|20:00:00|21:00:00|4820 NW 34th St., gainesville, GA 32605|34.3003521|-83.8547792
Geezer Men's|Location is: Harvest Christian Church|5|18:30:00|19:30:00|4820 NW 34th Street, gainesville, GA 32605|34.3003521|-83.8547792
The Way Home|Location is: Unity Church|5|17:30:00|18:30:00|8801 NW 39th Avenue, Gainesville, GA 32606|34.3001857|-83.854667
Tuesday Night Step Study|Location is: Gethsemane Lutheran Church|3|20:00:00|21:00:00|4011 NW 34th Street, Gainesville, GA 32605|34.3003521|-83.8547792
OTLB BEGINNER'S|Location is: Parkview Baptist Church|3|12:00:00|13:00:00|3403 NW 13th Street, Gainesville, GA 32609|34.3005792|-83.85527569999999
OTLB BEGINNER'S|Location is: Parkview Baptist Church|5|12:00:00|13:00:00|3403 NW 13th Street, Gainesville, GA 32609|34.3005792|-83.85527569999999
Out to Lunch Bunch|Location is: Parkview Baptist Church|2|12:00:00|13:00:00|3403 NW 13th Street, Gainesville, GA 32609|34.3005792|-83.85527569999999
Out to Lunch Bunch|Location is: Parkview Baptist Church|3|12:00:00|13:00:00|3403 NW 13th Street, Gainesville, GA 32609|34.3005792|-83.85527569999999
Out to Lunch Bunch|Location is: Parkview Baptist Church|4|12:00:00|13:00:00|3403 NW 13th Street, Gainesville, GA 32609|34.3005792|-83.85527569999999
Out to Lunch Bunch|Location is: Parkview Baptist Church|5|12:00:00|13:00:00|3403 NW 13th Street, Gainesville, GA 32609|34.3005792|-83.85527569999999
Out to Lunch Bunch|Location is: Parkview Baptist Church|6|12:00:00|13:00:00|3403 NW 13th Street, Gainesville, GA 32609|34.3005792|-83.85527569999999
Wholesale Miracle|Location is: Parkview Baptist Church|7|18:00:00|19:00:00|3403 NW 13th Street, Gainesville, GA 32609|34.3005792|-83.85527569999999
Tuesday Big Book Study|Location is: Parkview Baptist Church|3|18:30:00|19:30:00|3403 NW 13th Street, Gainesville, GA 32609|34.3005792|-83.85527569999999
Women's Step Study|Location is: Church of the Nazarene|5|10:00:00|11:00:00|5050 NW 23rd Avenue, Gainesville, GA 32606|34.3007934|-83.85504779999997
4th Dimension|Location is: Spirit of Truth Church|1|18:00:00|19:00:00|2251 NW 41st Street, Gainesville, GA 32605|34.3001554|-83.8550543
Women's Discussion|Location is: Spirit of Truth Church|5|19:00:00|20:00:00|2251 NW 41st Street, Gainesville, GA 32605|34.3001554|-83.8550543
Women's Serenity Seekers|Location is: Spirit of Truth Church|4|19:30:00|20:30:00|2251 NW 41st Street, Gainesville, GA 32605|34.3001554|-83.8550543
Free to Be(Gay, Lesbian, and Straight Welcome)|Location is: The Pride Center|1|19:30:00|20:30:00|3131 NW 13th Street, Gainesville, GA 32609|34.3005792|-83.85527569999999
BEGINNER'S MEDITATION MTG|Location is: BEGINNER'S MEDITATION MTG|7|07:50:00|08:50:00|2002 NW 13th Street, Gainesville, GA 32609|34.3005792|-83.85527569999999
The Geezer's Men's Meeting|Location is: BEGINNER'S MEDITATION MTG|5|18:15:00|19:15:00|2002 NW 13th Street, Gainesville, GA 32609|34.3005792|-83.85527569999999
Big Book Step Meeting|Location is: BEGINNER'S MEDITATION MTG|4|19:00:00|20:00:00|2002 NW 13th Street, Gainesville, GA 32609|34.3005792|-83.85527569999999
New Freedom|Location is: Westminster Presbyterian Church|6|12:15:00|13:15:00|1521 NW 34th Street, Gainesville, GA 32605|34.3003521|-83.8547792
New Freedom|Location is: Westminster Presbyterian Church|3|12:15:00|13:15:00|1521 NW 34th Street, Gainesville, GA 32605|34.3003521|-83.8547792
New Freedom|Location is: Westminster Presbyterian Church|4|12:15:00|13:15:00|1521 NW 34th Street, Gainesville, GA 32605|34.3003521|-83.8547792
New Freedom|Location is: Westminster Presbyterian Church|5|12:15:00|13:15:00|1521 NW 34th Street, Gainesville, GA 32605|34.3003521|-83.8547792
New Freedom|Location is: Westminster Presbyterian Church|2|12:15:00|13:15:00|1521 NW 34th Street, Gainesville, GA 32605|34.3003521|-83.8547792
Our Stories|Location is: Westminster Presbyterian Church|6|21:00:00|22:00:00|1521 NW 34th Street, Gainesville, GA 32605|34.3003521|-83.8547792
Every Step We Take|Location is: Vineyard Christian Fellowship|1|19:00:00|20:00:00|3536 NW 8th Ave., gainesville, GA 32605|34.293682|-83.8363989
Every Step We Take|Location is: Vineyard Church|7|19:00:00|20:00:00|3536 NW 8th Avenue, gainesville, GA 32605|34.293682|-83.8363989
Every Step We Take|Location is: Vineyard Church|6|19:00:00|20:00:00|3536 NW 8th Avenue, gainesville, GA 32605|34.293682|-83.8363989
Every Step We Take|Location is: Vineyard Church|1|19:00:00|20:00:00|3536 NW 8th Avenue, gainesville, GA 32605|34.293682|-83.8363989
Every Step We Take|Location is: Vineyard Church|4|19:00:00|20:00:00|3536 NW 8th Avenue, gainesville, GA 32605|34.293682|-83.8363989
Every Step We Take|Location is: Vineyard Church|3|19:00:00|20:00:00|3536 NW 8th Avenue, gainesville, GA 32605|34.293682|-83.8363989
Road to Recovery|Location is: Wisteria House|5|20:00:00|21:00:00|1303 NW 6th Street, Gainesville, GA 32601|34.251559|-83.8430179
Road to Recovery|Location is: Wisteria House|4|20:00:00|21:00:00|1303 NW 6th Street, Gainesville, GA 32601|34.251559|-83.8430179
Solutions|Location is: Highlands Presbyterian Church -|6|19:00:00|20:00:00|1001 NE 16th Avenue, Gainesville, GA 32601|34.3007051|-83.85535979999997
Early Birds|Location is: 1st Presbyterian Church|4|07:00:00|08:00:00|320 North Main St., Trenton, GA 32693|34.8851442|-85.50153969999997
Early Birds|Location is: 1st Presbyterian Church|6|07:00:00|08:00:00|320 North Main St., Trenton, GA 32693|34.8851442|-85.50153969999997
Early Birds|Location is: 1st Presbyterian Church|7|07:00:00|08:00:00|320 North Main St., Trenton, GA 32693|34.8851442|-85.50153969999997
Free to Be(Gay, Lesbian, and Straight Welcome)|Location is: Alachua County Housing Authority|6|19:30:00|20:30:00|703 NE 1st Street, Gainesville, GA 32601|34.2633932|-83.84724540000002
Student Group|Location is: Campus Church of Christ|3|20:00:00|21:00:00|2720 SW 2nd Avenue, Gainesville, GA 32607|34.2886182|-83.83950479999999
Student Group|Location is: Campus Church of Christ|5|20:00:00|21:00:00|2720 SW 2nd Avenue, Gainesville, GA 32607|34.2886182|-83.83950479999999
Monday Men's Meeting|Location is: University Lutheran Church|2|18:30:00|19:30:00|1826 W University Avenue, Gainesville, GA 32603|34.16950509999999|-84.09484980000002
