Edgefield|Location is: Episcopal Church|3|20:00:00|21:00:00|313 Simplins St., ,   USA, FL 29824|30.038441|-82.70030120000001
Edgefield|Location is: Episcopal Church|6|20:00:00|21:00:00|313 Simplins St., ,   USA, FL 29824|30.038441|-82.70030120000001
Madison|Location is: Madison|1|19:30:00|20:30:00|1131 East Ave., Madison, FL 30650|27.1887201|-80.22789410000001
Madison|Location is: Madison|5|19:30:00|20:30:00|1131 East Ave., Madison, FL 30650|27.1887201|-80.22789410000001
UNITED METH. CHURCH|Location is: UNITED METH. CHURCH|4|19:30:00|20:30:00|SPRING ST., LAGRANGE, FL 30240|28.6356338|-80.83323310000003
the hampton group|Location is: hampton ga |1|20:00:00|21:00:00|10 west main street, hampton, FL 30228|29.8380343|-82.16473830000001
GILBERT GROUP|Location is: GRACE LUTHERAN CHURCH|3|19:00:00|20:00:00|326 CHURCH STREET, GILBERT, FL 29054|30.1548031|-85.6272227
NORTH CHURCH STREET GROUP|Location is: SAINT STEPHEN’S CHURCH|2|01:23:00|02:23:00|119 N CHURCH STREET, LEXINGTON, FL 29072|29.142201|-80.98682769999999
NORTH CHURCH STREET GROUP|Location is: SAINT STEPHEN’S CHURCH|4|19:30:00|20:30:00|119 N CHURCH STREET, LEXINGTON, FL 29072|29.142201|-80.98682769999999
NORTH CHURCH STREET GROUP|Location is: SAINT STEPHEN’S CHURCH|5|19:00:00|20:00:00|119 N CHURCH STREET, LEXINGTON, FL 29072|29.142201|-80.98682769999999
TORCH LIGHT|Location is: St. John`s Ch.|3|18:00:00|19:00:00|2801 Stanton Rd., Southeast, FL 30094|30.9323065|-87.05560760000003
ST JOHNS DISCUSSION GROUP|Location is: ST JOHNS EPISCOPAL CHURCH|3|20:00:00|21:00:00|2827 WHEAT STREET, COLUMBIA, FL 29205|30.0520075|-82.70657740000001
FIFTH TRADITION|Location is: ST JOSEPH’S CATHOLIC CHURCH|1|15:00:00|16:00:00|3600 DEVINE STREET, COLUMBIA, FL 29205|30.1750317|-82.65126470000001
FIFTH TRADITION|Location is: ST JOSEPH’S CATHOLIC CHURCH|2|18:00:00|19:00:00|3600 DEVINE STREET, COLUMBIA, FL 29205|30.1750317|-82.65126470000001
FIFTH TRADITION|Location is: ST JOSEPH’S CATHOLIC CHURCH|3|18:00:00|19:00:00|3600 DEVINE STREET, COLUMBIA, FL 29205|30.1750317|-82.65126470000001
FIFTH TRADITION|Location is: ST JOSEPH’S CATHOLIC CHURCH|4|18:00:00|19:00:00|3600 DEVINE STREET, COLUMBIA, FL 29205|30.1750317|-82.65126470000001
FIFTH TRADITION|Location is: ST JOSEPH’S CATHOLIC CHURCH|5|18:00:00|19:00:00|3600 DEVINE STREET, COLUMBIA, FL 29205|30.1750317|-82.65126470000001
FIFTH TRADITION|Location is: ST JOSEPH’S CATHOLIC CHURCH|6|18:00:00|19:00:00|3600 DEVINE STREET, COLUMBIA, FL 29205|30.1750317|-82.65126470000001
FIVE POINTS HAPPY HOUR|Location is: ACOA CLUB|2|17:30:00|18:30:00|2015 COLLEGE STREET, COLUMBIA, FL 29205|30.1733019|-82.56849060000002
FIVE POINTS HAPPY HOUR|Location is: ACOA CLUB|3|17:30:00|18:30:00|2015 COLLEGE STREET, COLUMBIA, FL 29205|30.1733019|-82.56849060000002
FIVE POINTS HAPPY HOUR|Location is: ACOA CLUB|4|17:30:00|18:30:00|2015 COLLEGE STREET, COLUMBIA, FL 29205|30.1733019|-82.56849060000002
FIVE POINTS HAPPY HOUR|Location is: ACOA CLUB|5|17:30:00|18:30:00|2015 COLLEGE STREET, COLUMBIA, FL 29205|30.1733019|-82.56849060000002
FIVE POINTS HAPPY HOUR|Location is: ACOA CLUB|6|17:30:00|18:30:00|2015 COLLEGE STREET, COLUMBIA, FL 29205|30.1733019|-82.56849060000002
CENTRAL GROUP|Location is: ACOA CLUB|6|20:00:00|21:00:00|2015 COLLEGE STREET, COLUMBIA, FL 29205|30.1733019|-82.56849060000002
PRINCIPLES BEFORE PERSONALITIES|Location is: ACOA CLUB|6|22:00:00|23:00:00|2015 COLLEGE STREET, COLUMBIA, FL 29205|30.1733019|-82.56849060000002
KEYSTONE|Location is: ACOA CLUB|7|20:30:00|21:30:00|2015 COLLEGE STREET, COLUMBIA, FL 29205|30.1733019|-82.56849060000002
