68418,NE
68419,NE
69041,NE
68420,NE
68441,NE
69155,NE
68047,NE
68421,NE
68652,NE
68865,NE
68422,NE
68767,NE
68768,NE
68769,NE
68653,NE
68048,NE
68423,NE
68866,NE
68424,NE
68654,NE
68770,NE
69156,NE
68050,NE
69135,NE
69157,NE
68771,NE
68844,NE
68869,NE
68428,NE
68970,NE
68971,NE
68658,NE
68870,NE
68952,NE
68972,NE
68430,NE
68871,NE
68055,NE
68973,NE
68773,NE
68431,NE
69360,NE
69365,NE
68974,NE
68660,NE
68774,NE
68872,NE
68873,NE
68874,NE
68661,NE
68875,NE
69361,NE
69363,NE
68057,NE
69161,NE
68434,NE
68662,NE
68876,NE
68436,NE
68452,NE
68437,NE
69160,NE
69162,NE
68663,NE
68664,NE
68058,NE
68776,NE
68665,NE
68777,NE
68438,NE
68059,NE
68753,NE
68778,NE
68977,NE
68779,NE
68439,NE
69163,NE
68442,NE
68324,NE
68443,NE
69042,NE
69043,NE
68666,NE
68780,NE
68878,NE
68978,NE
69165,NE
68975,NE
68979,NE
68445,NE
68446,NE
68447,NE
68320,NE
68448,NE
68879,NE
68450,NE
68061,NE
69166,NE
68062,NE
68781,NE
68453,NE
69044,NE
68980,NE
69167,NE
68063,NE
68667,NE
68669,NE
68454,NE
68455,NE
68981,NE
68456,NE
69201,NE
69220,NE
68064,NE
68065,NE
69168,NE
68783,NE
68457,NE
68460,NE
68066,NE
68784,NE
69169,NE
68067,NE
68461,NE
68785,NE
68069,NE
69045,NE
68786,NE
68462,NE
68787,NE
68463,NE
69132,NE
69170,NE
68464,NE
68070,NE
68788,NE
69366,NE
68465,NE
68982,NE
69036,NE
69046,NE
68071,NE
68790,NE
68072,NE
68791,NE
68882,NE
69221,NE
68883,NE
68309,NE
68466,NE
68792,NE
68467,NE
68073,NE
68181,NE
